metric,value
Benchmark datetime,2025-06-12 17:37:54
Model benchmarked,meta-llama/Llama-3.1-8B
Total prompts,200
Request rate (rps),128
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.000206
CPU energy (kWh),0.000066
GPU energy (kWh),0.000758
Raw IT energy before PUE (kWh),0.000928
Total energy after PUE (kWh),0.001030
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,35269
Total amount of emissions (kgCO2eq),0.0004429465
Total amount of functional‐unit tokens,35269
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000001255908730180
Energy Consumption per Functional Unit (kWh/FU),0.00000002920717977162
