metric,value
Benchmark datetime,2025-06-14 09:08:26
Model benchmarked,TechxGenus/DeepSeek-V2-Lite-AWQ
Total prompts,200
Request rate (rps),8
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.001894
CPU energy (kWh),0.000606
GPU energy (kWh),0.005663
Raw IT energy before PUE (kWh),0.007355
Total energy after PUE (kWh),0.008164
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,39014
Total amount of emissions (kgCO2eq),0.0035104796
Total amount of functional‐unit tokens,39014
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000008997999780526
Energy Consumption per Functional Unit (kWh/FU),0.00000020925580884945
