metric,value
Benchmark datetime,2025-06-14 09:41:25
Model benchmarked,TechxGenus/DeepSeek-V2-Lite-AWQ
Total prompts,200
Request rate (rps),64
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.000293
CPU energy (kWh),0.000094
GPU energy (kWh),0.001032
Raw IT energy before PUE (kWh),0.001278
Total energy after PUE (kWh),0.001418
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,38914
Total amount of emissions (kgCO2eq),0.0006098129
Total amount of functional‐unit tokens,38914
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000001567078425819
Energy Consumption per Functional Unit (kWh/FU),0.00000003644368432137
