metric,value
Benchmark datetime,2025-06-13 11:37:09
Model benchmarked,bigscience/bloom-7b1
Total prompts,200
Request rate (rps),128
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.000325
CPU energy (kWh),0.000104
GPU energy (kWh),0.001196
Raw IT energy before PUE (kWh),0.001464
Total energy after PUE (kWh),0.001625
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,33673
Total amount of emissions (kgCO2eq),0.0006985399
Total amount of functional‐unit tokens,33673
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000002074480805184
Energy Consumption per Functional Unit (kWh/FU),0.00000004824373965544
